Istasyon_Adi,Istasyon_Numarasi,Enlem,Boylam,Tarih,Yagis(mm),2_Metre_Sicaklik(C),Yuzey_Basinci(mb),10_Metre_Ruzgar(m/s)
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 00:00:00,0,7.13,1014,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 01:00:00,0,6.27,1014,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 02:00:00,0,6.26,1013,6
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 03:00:00,0,4.08,1013,4
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 04:00:00,0,5.85,1013,5
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 05:00:00,0,5.47,1012,5
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 06:00:00,0,7.06,1012,4
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 07:00:00,0,9.53,1011,6
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 08:00:00,0,10.21,1011,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 09:00:00,0,11.69,1010,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 10:00:00,0,12.85,1008,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 11:00:00,0,13.28,1007,8
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 12:00:00,0,13.49,1006,6
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 13:00:00,0,13.52,1005,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 14:00:00,0,13.3,1004,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 15:00:00,0,13.35,1003,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 16:00:00,0,12.95,1002,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 17:00:00,0,12.79,1002,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 18:00:00,0,13.8,1000,7
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 19:00:00,0,14.88,1000,8
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 20:00:00,0,14.99,999,8
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 21:00:00,0,15.38,999,9
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 22:00:00,0,14.89,999,10
Anadolu Feneri,18421,41.223333,29.165833,2023-11-28 23:00:00,0,14.84,999,10
